amount_tsh,date_recorded,funder,gps_height,installer,longitude,latitude,wpt_name,basin,subvillage,region,region_code,district_code,lga,ward,population,public_meeting,scheme_management,scheme_name,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,source,source_type,source_class,waterpoint_type
0,Feb-201,Rare,1996,Rare,35.2907992,-4.05969643,Dinamu Secondary School,Internal,Rare,Manyara,21,3,Mbulu,Rare,321,TRUE,Parastatal,,TRUE,2012,other,other,other,parastatal,parastatal,never pay,never pay,soft,good,seasonal,rainwater harvesting,rainwater harvesting,surface,other
0,Feb-201,Government Of Tanzania,1569,DWE,36.65670893,-3.30921425,Kimnyak,Pangani,Kimnyak,Arusha,2,2,Arusha Rural,Rare,300,TRUE,VWC,TPRI pipe line,TRUE,2000,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,spring,spring,groundwater,communal standpipe
0,Feb-201,Rare,1567,Rare,34.76786315,-5.00434437,Rare,Internal,Rare,Singida,13,2,Singida Rural,Rare,500,TRUE,VWC,P,Missing,2010,other,other,other,vwc,user-group,never pay,never pay,soft,good,insufficient,rainwater harvesting,rainwater harvesting,surface,other
0,Jan-201,Rare,267,Rare,38.05804609,-9.41867222,Kwa Mzee Pange,Ruvuma / Southern Coast,Rare,Lindi,80,43,Liwale,Rare,250,Missing,VWC,,TRUE,1987,other,other,other,vwc,user-group,Rare,Rare,soft,good,dry,shallow well,shallow well,groundwater,other
500,Mar-201,Rare,1260,Rare,35.00612345,-10.950412,Rare,Ruvuma / Southern Coast,Rare,Ruvuma,10,3,Mbinga,Rare,60,Missing,Water Board,BRUDER,TRUE,2000,gravity,gravity,gravity,water board,user-group,pay monthly,monthly,soft,good,enough,spring,spring,groundwater,communal standpipe
0,Mar-201,Government Of Tanzania,1685,DWE,36.68527855,-3.30242017,Rare,Pangani,Rare,Arusha,2,2,Arusha Rural,Rare,200,TRUE,VWC,Timbolo sambasha TPRI pipe line,TRUE,1990,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,spring,spring,groundwater,communal standpipe
0,Mar-201,Government Of Tanzania,550,Gover,36.39804116,-7.54138236,Rare,Rufiji,Rare,Iringa,11,7,Kilolo,Rare,600,TRUE,VWC,,TRUE,2007,india mark ii,india mark ii,handpump,vwc,user-group,never pay,never pay,salty,salty,enough,machine dbh,borehole,groundwater,hand pump
0,Jan-201,Finw,234,FinW,39.60741997,-10.89378645,Kwa Mkwaa,Ruvuma / Southern Coast,Rare,Mtwara,9,4,Tandahimba,Rare,1,TRUE,Water Board,Borehole,TRUE,1982,submersible,submersible,submersible,vwc,user-group,never pay,never pay,soft,good,dry,machine dbh,borehole,groundwater,communal standpipe multiple
30,Jan-201,Unicef,584,LGA,39.2629507,-10.82358805,Kwa Mzee Mpini,Ruvuma / Southern Coast,Rare,Mtwara,90,33,Newala,Rare,40,TRUE,VWC,MWS,FALSE,1997,gravity,gravity,gravity,vwc,user-group,pay per bucket,per bucket,soft,good,insufficient,spring,spring,groundwater,communal standpipe
0,Mar-201,Rare,1083,Rare,37.09610836,-3.25175375,Kwa Flora Daud,Pangani,Rare,Kilimanjaro,3,7,Siha,Siha Kati,1,TRUE,Water Board,BL Erasto Laizer,TRUE,2003,gravity,gravity,gravity,water board,user-group,pay monthly,monthly,soft,good,enough,spring,spring,groundwater,communal standpipe
5,Oct-201,Germany Republi,1259,CES,37.23324768,-3.24112116,Kwa Anna P Muro,Pangani,Rare,Kilimanjaro,3,5,Hai,Rare,75,TRUE,Water Board,Lyamungo-Umbwe water supply,TRUE,2006,gravity,gravity,gravity,water board,user-group,pay per bucket,per bucket,soft,good,enough,spring,spring,groundwater,communal standpipe
0,Feb-201,World Vision,608,World vision,37.68639178,-4.55597478,Shuleni,Pangani,Rare,Manyara,21,4,Simanjiro,Rare,500,TRUE,Rare,,TRUE,2002,other,other,other,vwc,user-group,never pay,never pay,soft,good,dry,rainwater harvesting,rainwater harvesting,surface,other
0,Oct-201,World Bank,0,Building works company Ltd,33.66107435,-4.16572015,Kwa Nzega,Internal,Rare,Tabora,14,2,Igunga,Rare,0,TRUE,Other,World Bank,TRUE,1987,mono,mono,motorpump,vwc,user-group,Rare,Rare,soft,good,dry,machine dbh,borehole,groundwater,communal standpipe multiple
0,Jul-201,Ministry Of Water,0,DWE,33.00768032,-3.2095291,Rare,Lake Victoria,Rare,Mwanza,19,4,Kwimba,Rare,0,TRUE,VWC,Mradi wa maji Kiliwi,TRUE,1987,mono,mono,motorpump,vwc,user-group,pay per bucket,per bucket,soft,good,enough,machine dbh,borehole,groundwater,communal standpipe multiple
1000,Mar-201,Danida,1625,DANID,35.61562385,-7.87029042,Rare,Rufiji,Rare,Iringa,11,1,Iringa Rural,Rare,1,TRUE,VWC,Meseke,TRUE,1984,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,spring,spring,groundwater,communal standpipe
1200,Jun-201,Danida,916,DWE,35.48288627,-10.91259619,Kwa Daniela,Ruvuma / Southern Coast,Rare,Ruvuma,10,2,Songea Rural,Rare,0,TRUE,VWC,Mradi wa maji wa ndongosi,TRUE,1989,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,enough,river,river/lake,surface,communal standpipe multiple
0,Feb-201,Rare,1060.32,Rare,39.85018977,-7.72794628,Kitotoni,Rufiji,Rare,Pwani,6,6,Mafia,Rare,900,TRUE,VWC,,FALSE,1987,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,soft,good,enough,shallow well,shallow well,groundwater,hand pump
200,Mar-201,Government Of Tanzania,1793,DWE,38.25402354,-4.5658016,Magagai Hospital,Pangani,Rare,Tanga,4,1,Lushoto,Rare,1,TRUE,VWC,Shagayo forest,TRUE,1978,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,spring,spring,groundwater,communal standpipe
0,Oct-201,Rural Water Supply And Sanitat,0,DWE,31.58679783,-3.38780779,Shule Ya Msingi Ikuzi,Lake Tanganyika,Bumbaaga A,Shinyanga,17,5,Bukombe,Rare,0,TRUE,Parastatal,,TRUE,1987,gravity,gravity,gravity,parastatal,parastatal,Rare,Rare,soft,good,seasonal,rainwater harvesting,rainwater harvesting,surface,communal standpipe
0,Feb-201,Finw,368,FinW,39.43852591,-10.58336646,Liponde A,Ruvuma / Southern Coast,Liponde A,Mtwara,9,4,Tandahimba,Rare,300,TRUE,Water Board,Borehole,TRUE,1982,submersible,submersible,submersible,vwc,user-group,never pay,never pay,soft,good,dry,machine dbh,borehole,groundwater,communal standpipe
0,Mar-201,Rare,1060.32,Rare,39.32230666,-6.85026202,Shuleni,Wami / Ruvu,Rare,Dar es Salaam,7,3,Temeke,Rare,120,TRUE,Rare,,FALSE,2010,submersible,submersible,submersible,Rare,Rare,never pay,never pay,soft,good,enough,machine dbh,borehole,groundwater,communal standpipe
0,Mar-201,Dwe,1674,DWE,34.94362033,-9.35251465,Rare,Rufiji,Rare,Iringa,11,4,Njombe,Rare,30,TRUE,VWC,Lukwal,FALSE,2008,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,spring,spring,groundwater,communal standpipe
0,Feb-201,Tasaf,1087,DWE,31.04608844,-5.05419563,Kwa Yorodan,Lake Tanganyika,Rare,Kigoma,16,3,Kigoma Rural,Rare,1750,TRUE,VWC,,TRUE,2005,other,other,other,vwc,user-group,Rare,Rare,milky,milky,enough,shallow well,shallow well,groundwater,other
0,Feb-201,Rare,1441,Rare,34.62104755,-5.16592646,Rare,Internal,Rare,Singida,13,2,Singida Rural,Rare,1,TRUE,VWC,M,Missing,1970,mono,mono,motorpump,vwc,user-group,Rare,Rare,unknown,unknown,dry,machine dbh,borehole,groundwater,communal standpipe
0,Oct-201,Mwanashila,0,DWE,33.72235857,-3.04712172,Toyekukoya Groups,Lake Victoria,Rare,Shinyanga,17,2,Maswa,Rare,0,TRUE,WUG,,FALSE,1987,nira/tanira,nira/tanira,handpump,wug,user-group,never pay,never pay,soft,good,enough,shallow well,shallow well,groundwater,hand pump
200,Feb-201,Rare,1726,DWE,34.92959242,-9.15287185,Rare,Rufiji,Mpeto A,Iringa,11,4,Njombe,Rare,50,TRUE,VWC,Ikuna gravity water Scheme,FALSE,2008,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,spring,spring,groundwater,communal standpipe
